Time,unit_Time,Cella_1,unit_1,Cella_2,unit_2,Cella_3,unit_3,Cella_4,unit_4,SG600_main,unit_main,SG600_temp,unit_temp
25.8108,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
25.91208,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.02277,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.12737,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.22937,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.33834,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.43946,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.54194,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.64286,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.74399,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.84509,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
26.94602,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.04702,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.14804,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.25343,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.3748,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.48043,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.58547,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.68745,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.78884,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.88957,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
27.99069,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
28.09166,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
28.19256,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
28.29344,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
28.39463,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
28.49664,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
28.60183,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
28.70487,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
28.80657,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
28.90828,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
